1N4AZ0CP7E,Yelm,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,247914271,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,,,,
KNDCR3LF5P,Yakima,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,258750306,POINT (-120.51904 46.59783),PACIFICORP,,,,
5YJSA1E20H,Fresno,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,151980573,POINT (-119.88031 36.78069),NON WASHINGTON STATE ELECTRIC UTILITY,,,,
5YJ3E1EB3K,Pullman,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,4651076,POINT (-117.18147 46.73015),AVISTA CORP,,,,
5YJSA1E58P,Moxee,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,236432542,POINT (-120.39197 46.55621),PACIFICORP,,,,
5UXKT0C56J,Selah,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,227869477,POINT (-120.53145 46.65405),PACIFICORP,,,,
1N4BZ0CP8H,Olympia,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,261303234,POINT (-122.90787 46.9461),PUGET SOUND ENERGY INC,,,,
1N4AZ1CP2J,Redmond,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,475849916,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
5YJSA1E2XJ,Port Orchard,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,177571971,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,,,,
5YJ3E1EA7J,Bothell,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,334758462,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,,,,
KNDCS3LF3P,Lacey,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,227682549,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB9J,Lynnwood,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,153817128,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,,,,
WBY1Z4C58F,Seabeck,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,3572089,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,,,,
5YJ3E1EA7J,Renton,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,159840285,POINT (-122.20784 47.46004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
7FCTGBAAXS,Poulsbo,2025,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,282839574,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB3L,Everett,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,132825227,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,,,,
1C4JJXR65P,Port Orchard,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,224488743,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,,,,
WA1F2AFYXM,Olympia,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,172874775,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,,,,
WA1E2AFY9R,Selah,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,268102138,POINT (-120.53145 46.65405),PACIFICORP,,,,
1C4JJXP66M,Zillah,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,213616364,POINT (-120.26226 46.40199),PACIFICORP,,,,
5YJSA1E1XF,Stanwood,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,258059693,POINT (-122.37265 48.24159),PUGET SOUND ENERGY INC,,,,
2C4RC1N76J,Olympia,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,120816958,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB0J,Issaquah,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,151547567,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
5YJYGDEF1L,Bothell,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,122587244,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,,,,
5YJSA1E29K,Redmond,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,478027903,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
5YJ3E1EBXJ,Bremerton,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,207540847,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,,,,
1G1RA6S59H,Bothell,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,222383332,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,,,,
1G1FX6S07J,Spokane,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,8804120,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,,,,
3FA6P0PU4G,Tenino,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,113085374,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,,,,
JHMZC5F36J,Yakima,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,204845469,POINT (-120.60199 46.59817),PACIFICORP,,,,
1N4BZ1CP7L,Bothell,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,133721290,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,,,,
1FMCU0E1XR,Snohomish,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,278308453,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,,,,
YV1BK0EP1M,Bainbridge Island,2021,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,148283530,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,,,,
7SAYGDED0T,Lacey,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,283417648,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,,,,
1N4AZ0CP2D,Seattle,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,200768102,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),,,,
KNDC3DLC1P,Lacey,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,228635529,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,,,,
1N4AZ0CP1D,Shoreline,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,221188747,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),,,,
JN1AZ0CP7C,Bremerton,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,250921030,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,,,,
1N4BZ0CP5H,Mukilteo,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,336474694,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,,,,
1N4AZ1CP6K,Kirkland,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,272522295,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
WMEFJ9BAXJ,Lacey,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,248881202,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,,,,
5YJSA1E23J,Olympia,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,196648210,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,,,,
1G1RB6S55H,Poulsbo,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,349972640,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,,,,
5YJ3E1EA6L,Bothell,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,141793480,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,,,,
1N4AZ1CP6L,Issaquah,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,122134015,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
7PDSGABL0P,Selah,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,272363724,POINT (-120.53145 46.65405),PACIFICORP,,,,
1G1RE6E47C,Yakima,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,477578370,POINT (-120.60199 46.59817),PACIFICORP,,,,
WVWKP7AU9G,Everett,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,138264325,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB0K,Pullman,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,478451970,POINT (-117.18147 46.73015),AVISTA CORP,,,,
